track_id,Old-Time/Historic
31122,1
31126,1
31127,1
31128,1
31129,1
31130,1
31131,1
31132,1
31133,1
31134,1
31135,1
31136,1
31142,1
31145,1
31147,1
31149,1
31150,1
47119,1
47320,1
47321,1
47322,1
47323,1
47324,1
49363,1
49364,1
50137,1
50140,1
50141,1
59503,1
59504,1
59505,1
59506,1
59507,1
59508,1
59510,1
59512,1
59514,1
60276,1
60277,1
60278,1
60279,1
60280,1
60281,1
60282,1
60283,1
60284,1
60285,1
60286,1
60287,1
61891,1
61894,1
61896,1
61897,1
61906,1
61923,1
71723,1
120930,1
120931,1
120932,1
120934,1
120937,1
120938,1
120939,1
120940,1
122538,1
122539,1
122540,1
122541,1
122542,1
122545,1
122699,1
122700,1
122701,1
122702,1
122703,1
122705,1
122706,1
122707,1
122709,1
122712,1
122713,1
122714,1
122715,1
122716,1
122723,1
122724,1
122725,1
122726,1
122727,1
122728,1
122729,1
122730,1
122731,1
122732,1
122733,1
122735,1
122736,1
122871,1
122873,1
122874,1
122875,1
122876,1
122880,1
122881,1
122882,1
122883,1
122896,1
122897,1
122898,1
122899,1
122904,1
122905,1
122906,1
122907,1
122908,1
122909,1
123370,1
123371,1
123372,1
123373,1
123375,1
123377,1
123378,1
123379,1
123380,1
123383,1
123679,1
123680,1
123681,1
123682,1
123683,1
123684,1
124396,1
124397,1
124398,1
124399,1
124400,1
124402,1
124403,1
124405,1
124406,1
124413,1
124414,1
124415,1
124417,1
124418,1
124419,1
124420,1
124421,1
124422,1
125108,1
125109,1
125110,1
125111,1
125112,1
125114,1
125115,1
125116,1
125117,1
125118,1
125119,1
131955,1
131956,1
131957,1
131958,1
131959,1
131961,1
131962,1
131964,1
145608,0
95169,0
91895,0
127205,0
145021,0
21166,0
96399,0
71315,0
54937,0
15469,0
149711,0
147015,0
78995,0
137431,0
3952,0
101089,0
126398,0
49395,0
57405,0
76142,0
24515,0
6719,0
22049,0
134553,0
9155,0
24216,0
90652,0
77209,0
5245,0
127158,0
83913,0
72790,0
11837,0
91304,0
144574,0
11206,0
108418,0
108037,0
68570,0
122121,0
11854,0
120922,0
17498,0
64499,0
64033,0
59934,0
59917,0
65164,0
151039,0
102134,0
110611,0
148513,0
74376,0
47772,0
42914,0
39660,0
38750,0
115362,0
57415,0
72210,0
34467,0
16736,0
98934,0
96933,0
36652,0
55579,0
10881,0
121453,0
138351,0
55950,0
4850,0
70940,0
77939,0
8215,0
37131,0
52004,0
134985,0
31261,0
57882,0
10933,0
90847,0
108760,0
107481,0
74373,0
149648,0
127273,0
66358,0
141972,0
96400,0
83633,0
28118,0
3624,0
14948,0
13115,0
137629,0
153383,0
138276,0
63371,0
104809,0
64988,0
71620,0
1666,0
38911,0
111933,0
58525,0
71508,0
129051,0
129093,0
121591,0
128484,0
61885,0
70444,0
118380,0
997,0
59578,0
55397,0
76657,0
119569,0
15540,0
4699,0
26174,0
1073,0
66517,0
152330,0
92125,0
70418,0
57412,0
107435,0
97985,0
80233,0
87325,0
108775,0
21965,0
24990,0
69194,0
147415,0
130803,0
147190,0
125723,0
118726,0
133326,0
139121,0
54235,0
86521,0
74914,0
125288,0
16994,0
19493,0
114288,0
37015,0
40134,0
125721,0
84515,0
114293,0
114289,0
107389,0
34528,0
87154,0
29042,0
47502,0
108076,0
123278,0
94340,0
155130,0
1015,0
15261,0
84788,0
28108,0
11257,0
43316,0
145645,0
141159,0
12556,0
148844,0
97885,0
84777,0
54234,0
123391,0
118222,0
12534,0
70693,0
97976,0
92549,0
46508,0
146708,0
148847,0
65660,0
52040,0
69904,0
112318,0
111704,0
63969,0
112788,0
137723,0
30728,0
59062,0
124458,0
40783,0
110080,0
130448,0
108314,0
61854,0
150985,0
74185,0
99079,0
144560,0
47659,0
36959,0
70939,0
7780,0
93723,0
24813,0
59055,0
131425,0
75274,0
81057,0
76381,0
74968,0
108150,0
47775,0
69205,0
132154,0
146002,0
48229,0
25380,0
92558,0
24059,0
24797,0
27571,0
107848,0
105145,0
14084,0
72454,0
130809,0
33217,0
17585,0
95571,0
64537,0
56013,0
56166,0
102190,0
151557,0
27567,0
11261,0
75974,0
26014,0
1929,0
36466,0
143098,0
63970,0
145708,0
54039,0
91845,0
129735,0
45934,0
137924,0
125159,0
70654,0
49066,0
148582,0
96294,0
15260,0
117882,0
35002,0
87136,0
52579,0
34506,0
36539,0
28175,0
130368,0
41883,0
108991,0
23884,0
32883,0
58423,0
123418,0
74945,0
25123,0
46511,0
56028,0
73337,0
75903,0
63965,0
65673,0
142396,0
134024,0
127448,0
46648,0
51505,0
63802,0
14799,0
74915,0
36461,0
125149,0
121738,0
64767,0
130163,0
139726,0
111401,0
64594,0
41882,0
116238,0
41957,0
60730,0
51926,0
57624,0
34315,0
51711,0
127203,0
47465,0
40644,0
99703,0
148653,0
3983,0
52474,0
10038,0
34529,0
10042,0
34524,0
73341,0
62324,0
129855,0
123756,0
11390,0
39683,0
23160,0
15143,0
91710,0
145024,0
74364,0
33216,0
11770,0
14081,0
130805,0
11722,0
82706,0
111387,0
126055,0
106955,0
149082,0
66396,0
60883,0
113524,0
40780,0
149625,0
106952,0
126604,0
85307,0
112487,0
5275,0
60593,0
128476,0
147193,0
33986,0
148014,0
44286,0
97547,0
105404,0
11019,0
113025,0
22031,0
127287,0
14793,0
139862,0
120208,0
114043,0
79573,0
608,0
154354,0
46135,0
107384,0
97424,0
150011,0
75225,0
108527,0
121205,0
28916,0
111931,0
49406,0
63669,0
115699,0
124909,0
108292,0
120921,0
58764,0
126944,0
140587,0
75223,0
67791,0
83867,0
56653,0
124461,0
86295,0
113600,0
82059,0
73343,0
58238,0
120198,0
144390,0
32325,0
27420,0
54625,0
19658,0
104283,0
127531,0
54368,0
28535,0
59021,0
145027,0
120794,0
138008,0
74139,0
65663,0
130367,0
